Subject,Movement,Segment,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P2,7,LeftShoulder,10.35291337429699,[3.61694775 3.98857607 8.49159471],6.478714501066348,2.5453319039108333
P2,7,LeftUpperArm,348.20820635828505,[3.42481359 7.76355665 7.04069891],28.507984225806783,5.3392868649105925
P2,7,LeftForeArm,30.1880781395417,[ 6.9920432  29.21532713  1.27860404],24.758276892998527,4.975768975042805
P2,7,LeftHand,348.48301386935645,[ 1.15228183 11.30126481  1.48803273],0.5080594059984334,0.7127828603427788
P2,7,RightUpperLeg,7.333303107704751,[3.00656747 5.12310914 3.66106373],0.6827099892673332,0.8262626636048207
P2,7,RightLowerLeg,8.046927452067527,[0.59011771 4.89295955 5.93185847],2.4004684819579905,1.5493445330067779
P2,7,RightFoot,4.7653488192251485,[0.09326274 0.53584704 4.73084323],0.07919663686664581,0.2814189703389695
P2,7,LeftUpperLeg,2.6583678016329193,[0.81127725 1.49061321 1.82648567],1.9685385775134885,1.4030461779690249
P2,7,LeftLowerLeg,23.70864283561254,[ 1.87212283  1.25721271 23.60799491],7.968038667995336,2.822771451604847
P2,7,LeftFoot,4.064801369874379,[1.61860722 0.42276952 3.68886464],0.056879324926084336,0.23849386769073191
P2,8,Pelvis,9.183203302439951,[1.3621921  5.11834214 5.86347943],11.45081900578651,3.3839058801607513
P2,8,T8,21.385551584306217,[ 6.10972421  8.07683499 18.93971396],94.14059216713564,9.702607493201796
P2,8,Head,12.120025326365367,[6.41256637 1.98561029 9.57993403],40.81950696541538,6.389014553545436
P2,8,RightShoulder,28.197209185591205,[ 8.3639793   7.71410954 24.84726254],9.716802801745969,3.1171786605432112
P2,8,RightUpperArm,19.482174397207668,[10.60747822 12.58636256 10.48566234],56.775092402069426,7.534924843823555
P2,8,RightForeArm,44.932826338796076,[ 6.58611766 44.08532896  5.28435748],439.57176930307946,20.965966929838448
P2,8,RightHand,6.919744663208795,[0.89105447 6.68865909 1.08061813],1.2783486670635569,1.1306408214210015
P2,8,LeftShoulder,13.654464192966657,[10.25667522  4.89560364  5.61959892],20.756261903245594,4.555904070900263
P2,8,LeftUpperArm,350.2539108903175,[5.7994953  5.55858045 3.14947423],10.64809495131782,3.2631418834181605
P2,8,LeftForeArm,41.51966150683347,[ 6.94255969 40.41685421  4.69529017],196.88693202937463,14.031640389825226
P2,8,LeftHand,348.8426621104965,[1.70054867 8.56145216 4.6182329 ],2.866035299101351,1.6929368857406797
P2,8,RightUpperLeg,12.585218883216047,[1.31326915 9.00375286 7.90194764],20.397181825039045,4.516323928267219
P2,8,RightLowerLeg,13.9645229550131,[4.19524641 9.19097941 6.09927227],31.240048411577746,5.589279775747296
P2,8,RightFoot,5.357801485582312,[0.54867564 1.22522229 4.98542662],1.9515515907160224,1.3969794525031578
P2,8,LeftUpperLeg,13.933428034122443,[ 2.52246548  5.92377691 11.79655869],89.00579147392196,9.434288074567258
P2,8,LeftLowerLeg,27.66637529872156,[ 4.00677539 11.4566773  23.09724916],62.72663395389486,7.9200147698028225
P2,8,LeftFoot,5.260205106164237,[1.82231282 0.66157268 4.5252369 ],4.736104494494942,2.176259289352935
P2,9,Pelvis,5.859565924948657,[0.78225716 0.91946066 5.71030249],0.021089993755385585,0.14522394346451822
P2,9,T8,16.6323465367923,[ 4.14057358 11.51598269  8.26122904],88.35054372183407,9.399496993022236
P2,9,Head,4.67001896336751,[1.52508345 3.62260837 2.25984824],1.2830920864756654,1.1327365476913267
P2,9,RightShoulder,36.75851497184557,[ 9.29753087 15.32487909 28.21062698],40.12292650502622,6.334266058907395
P2,9,RightUpperArm,19.30828365530356,[ 9.82780458  8.2439473  11.62680553],60.900472967624424,7.803875509490424
P2,9,RightForeArm,34.10506303839717,[11.92891475 30.43619391 10.70013858],298.33861683470985,17.272481490356558
P2,9,RightHand,6.5107150512658984,[1.31820874 6.06976226 1.24394982],3.1810976488160545,1.7835631889047425
P2,9,LeftShoulder,26.68855320731616,[24.01973124  6.04071526  7.35186102],230.58729607102583,15.185101121527833
P2,9,LeftUpperArm,345.9357752244244,[8.11603854 8.92246603 4.72114578],28.65362491583911,5.352908080271798
P2,9,LeftForeArm,48.61996274882585,[ 7.43078215 46.96735728  7.98145641],265.0861291971511,16.281465818443717
P2,9,LeftHand,350.3416687501352,[2.92573457 7.22665443 4.13803502],5.023133273684236,2.2412347654104057
P2,9,RightUpperLeg,7.34715509393801,[0.61608939 5.67708393 4.52824025],0.2897219608597648,0.5382582659465295
P2,9,RightLowerLeg,5.1979907541577735,[1.75437612 3.60600979 3.10227594],1.1885965518545125,1.0902277522859674
P2,9,RightFoot,5.140692484316452,[0.1692067  0.63838769 5.09620442],0.018467673026350735,0.13589581680960872
